EmployeeID,JobID,CompensationID,WorkScheduleID,LegalComplianceID,OrganizationalID,HireDate,EndDate,EmployeeStatus,LeaveBalance,AttendanceRecords,EngagementScores,ExitInterviewNotes
1,1,1,1,1,1,2024-06-08,,Terminated,27,223,1,
2,2,2,2,2,2,2022-11-26,,Terminated,0,239,5,
3,3,3,3,3,3,2020-04-21,,On Leave,13,254,9,
4,4,4,4,4,4,2024-04-16,,Terminated,17,212,6,
5,5,5,5,5,5,2023-03-11,,Active,26,253,4,
6,6,6,6,6,6,2021-11-02,,On Leave,28,244,4,
7,7,7,7,7,7,2023-03-02,,On Leave,1,242,9,
8,8,8,8,8,8,2023-08-28,,Active,4,254,6,
9,9,9,9,9,9,2021-10-12,,Active,13,246,7,
10,10,10,10,10,10,2020-11-03,,On Leave,21,255,4,
11,11,11,11,11,11,2024-01-08,,Active,0,218,3,
12,12,12,12,12,12,2023-09-18,,On Leave,1,201,2,
13,13,13,13,13,13,2022-06-15,,On Leave,11,242,5,
14,14,14,14,14,14,2021-03-12,,Terminated,6,207,7,
15,15,15,15,15,15,2023-12-31,,On Leave,11,231,7,
16,16,16,16,16,16,2023-07-28,2020-11-28,Terminated,20,212,6,
17,17,17,17,17,17,2021-03-28,,Active,7,243,7,
18,18,18,18,18,18,2021-02-07,,On Leave,2,247,5,
19,19,19,19,19,19,2021-06-22,,On Leave,17,226,3,
20,20,20,20,20,20,2022-01-15,,On Leave,20,241,9,
21,21,21,21,21,21,2020-11-25,,Active,10,236,4,
22,22,22,22,22,22,2023-02-24,,On Leave,18,234,7,
23,23,23,23,23,23,2022-03-25,,Active,18,217,4,
24,24,24,24,24,24,2023-11-08,,On Leave,10,222,3,Force two parent yeah ahead rock group because evidence fine general place hold.
25,25,25,25,25,25,2021-01-06,,Terminated,20,251,2,
26,26,26,26,26,26,2022-05-28,,Active,21,206,8,
27,27,27,27,27,27,2022-01-17,2024-07-11,On Leave,22,216,5,
28,28,28,28,28,28,2020-12-21,,On Leave,8,246,1,Campaign like contain light ground performance finally recognize work instead pick.
29,29,29,29,29,29,2022-05-02,,Active,15,214,3,
30,30,30,30,30,30,2020-03-15,,Terminated,29,223,2,
31,31,31,31,31,31,2021-06-16,,Active,15,202,6,Particular head feel woman possible western believe table himself purpose him camera sell.
32,32,32,32,32,32,2020-04-25,,Active,0,254,9,
33,33,33,33,33,33,2023-07-17,,Active,29,218,5,
34,34,34,34,34,34,2020-08-06,2021-07-09,Terminated,13,229,4,
35,35,35,35,35,35,2020-03-08,,Active,23,206,9,
36,36,36,36,36,36,2023-07-09,,On Leave,2,249,7,
37,37,37,37,37,37,2022-08-12,,On Leave,15,206,8,
38,38,38,38,38,38,2022-12-26,,Active,19,241,5,
39,39,39,39,39,39,2023-07-07,,Terminated,14,216,7,
40,40,40,40,40,40,2023-09-11,,On Leave,12,231,4,
41,41,41,41,41,41,2024-02-19,,Terminated,20,203,4,Condition college bed yet short south take class course picture through one.
42,42,42,42,42,42,2023-04-15,,Active,5,202,6,
43,43,43,43,43,43,2020-01-11,,Active,13,205,7,
44,44,44,44,44,44,2024-04-09,,Terminated,17,208,9,
45,45,45,45,45,45,2023-04-08,,Terminated,10,241,4,
46,46,46,46,46,46,2024-01-14,,Active,11,243,2,Member none help different accept threat job.
47,47,47,47,47,47,2022-11-22,,On Leave,5,246,3,
48,48,48,48,48,48,2022-04-01,,On Leave,28,254,9,
49,49,49,49,49,49,2020-11-08,,Terminated,17,240,7,
50,50,50,50,50,50,2024-06-27,,Active,5,247,7,
51,51,51,51,51,51,2021-02-04,,Terminated,0,225,5,
52,52,52,52,52,52,2023-12-15,,Terminated,19,208,2,
53,53,53,53,53,53,2024-01-15,,Terminated,22,232,8,
54,54,54,54,54,54,2023-07-28,,Terminated,21,241,4,
55,55,55,55,55,55,2021-10-10,,Active,24,229,5,
56,56,56,56,56,56,2023-12-18,,On Leave,2,253,7,
57,57,57,57,57,57,2023-01-15,,Active,19,248,9,
58,58,58,58,58,58,2020-09-11,2023-05-14,On Leave,11,233,3,
59,59,59,59,59,59,2022-11-20,,Active,5,242,6,
60,60,60,60,60,60,2020-11-07,,On Leave,29,204,2,
61,61,61,61,61,61,2020-02-03,,Active,26,207,8,
62,62,62,62,62,62,2024-06-09,,Terminated,29,238,3,
63,63,63,63,63,63,2023-05-15,,Terminated,3,231,3,
64,64,64,64,64,64,2022-06-09,,Terminated,29,236,9,
65,65,65,65,65,65,2022-04-06,,Terminated,1,210,6,
66,66,66,66,66,66,2024-06-12,,Active,4,229,8,
67,67,67,67,67,67,2020-03-30,,On Leave,26,247,4,
68,68,68,68,68,68,2023-10-03,2020-07-19,Active,20,241,5,Available same television still lay condition final theory believe professor laugh.
69,69,69,69,69,69,2024-04-09,2023-08-08,Active,26,237,6,
70,70,70,70,70,70,2022-10-14,,Active,22,212,8,
71,71,71,71,71,71,2024-07-13,,On Leave,18,240,9,
72,72,72,72,72,72,2021-11-17,,Active,9,215,9,
73,73,73,73,73,73,2022-08-24,,On Leave,15,253,1,
74,74,74,74,74,74,2020-04-08,2022-08-28,Active,16,212,3,
75,75,75,75,75,75,2023-03-04,2020-04-28,Terminated,9,210,7,
76,76,76,76,76,76,2020-05-02,,Terminated,2,258,8,
77,77,77,77,77,77,2023-06-04,,Active,11,254,4,
78,78,78,78,78,78,2022-09-22,,Active,17,203,9,
79,79,79,79,79,79,2022-12-22,,Active,28,245,3,
80,80,80,80,80,80,2022-07-11,,Active,11,223,8,
